species;species2
Nycticorax nycticorax;Black-crowned night heron
Podiceps nigricollis;Black-necked grebe
Larus ridibundus;Common black-headed gull
Fulica atra;Common coot
Bucephala clangula;Common goldeneye
Alcedo atthis;Common kingfisher
Aythya ferina;Common pochard
Tringa totanus;Common redshank
Acrocephalus scirpaceus;Common reed warbler
Actitis hypoleucos;Common sandpiper
Gallinago gallinago;Common snipe
Anas crecca;Common teal
Sterna hirundo;Common tern
Anas strepera;Gadwall
Anas querquedula;Garganey
Phalacrocorax carbo;Great cormorant
Acrocephalus arundinaceus;Great reed warbler
Podiceps cristatus;Great-crested grebe
Ardea cinerea;Grey heron
Ixobrychus minutus;Little bittern
Tachybaptus ruficollis;Little grebe
Charadrius dubius;Little ringed plover
Cygnus olor;Mute swan
Anas clypeata;Northern shoveler
Netta rufina;Red-crested pochard
Emberiza schoeniclus;Reed bunting
Acrocephalus schoenobaenus;Sedge warbler
Aythya fuligula;Tufted duck
Rallus aquaticus;Water rail
Circus aeruginosus;Western marsh-harrier
Chlidonias niger;Black tern
Cinclus cinclus;White-throated dipper
Milvus migrans;Black Kite
Phoenicurus phoenicurus;Common Redstart
Parus ater;Coal  tit
Carduelis flammea;Common Redpoll
Parus cristatus;Crested Tit
Pyrrhula pyrrhula;Eurasian Bullfinch
Picus viridis;Eurasian Green Woodpecker
Carduelis spinus;Eurasian Siskin
Certhia familiaris;Eurasian Treecreeper
Troglodytes troglodytes;Eurasian Wren
Pernis apivorus;European Honey-Buzzard
Ficedula hypoleuca;European Pied Flycatcher
Turdus pilaris;Fieldfare
Regulus ignicapillus;Firecrest
Regulus regulus;Goldcrest
Coccothraustes coccothraustes;Hawfinch
Hippolais icterina;Icterine Warble
Dendrocopos minor;Lesser Spotted Woodpecker
Asio otus;Long-eared Owl 
Aegithalos caudatus;Long-tailed Tit
Parus palustris;Marsh Tit
Dendrocopos medius;Middle Spotted Woodpecker
Turdus viscivorus;Mistle Thrush
Loxia curvirostra;Red Crossbill
Milvus milvus;Red Kite
Ficedula parva;Red-breasted Flycatcher
Certhia brachydactyla;Short-toed Treecreeper
Muscicapa striata;Spotted Flycatcher
Columba oenas;Stock Pigeon
Strix aluco;Tawny Owl 
Lullula arborea;Wood Lark
Phylloscopus sibilatrix;Wood Warbler
